	B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasmablasts	SMCs	T-cells
19425x13737	0.013853734	0.11063759	0.012330818	0.41325176	0.1556803	0.20752224	2.8755878e-10	0.08672361
12080x5640	0.007611982	0.07621738	0.0036303755	0.6712641	0.10500701	0.09711275	0.012904499	0.026251962
18722x20622	0.0011391467	1.7890636e-10	1.7926433e-10	0.9988609	1.7918571e-10	1.7929512e-10	1.7908047e-10	1.7897975e-10
15176x19661	0.003147064	0.027104367	0.014201882	0.7668748	0.111561805	0.06264982	0.014460332	3.0141845e-10
6042x16071	0.04710231	0.11013563	0.11892057	0.1873261	0.18657567	0.10747501	0.029045122	0.21341953
18891x9935	0.023344519	0.23583409	0.08551419	0.42053586	0.16081001	0.02879992	0.004228034	0.04093339
5234x12744	5.0496535e-10	0.063177094	0.032667927	0.6613636	0.09767877	0.12423404	0.00024925306	0.020629311
16430x11353	6.936483e-10	0.10471062	0.05579111	0.46408466	0.079456	0.2571255	0.007971257	0.030860856
5907x15833	0.052149452	0.07621772	0.100322016	0.0975952	0.13497685	0.11889325	0.0394201	0.38042545
16723x4704	0.00644986	0.27076983	0.29439923	0.1984573	0.12658681	0.024779122	0.07398855	0.004569285
7956x15127	3.942953e-10	0.12254768	0.04671243	0.46859276	0.13418059	0.071991056	0.045664076	0.11031136
14510x14197	0.029749772	0.14554688	0.016549839	0.58089304	0.13495706	0.060242165	6.475331e-10	0.032061286
10294x9197	2.0165042e-10	2.0168464e-10	2.0178315e-10	0.97830313	0.0026761864	0.016461944	0.0025586993	2.0162773e-10
6752x7286	1.9972343e-10	0.0019341141	0.0011088742	0.9173279	0.030050965	0.036612406	0.0050512236	0.007914497
16573x9216	0.04676662	0.15710977	0.02520344	0.49841478	0.17306304	0.067842975	0.006454707	0.025144631
17663x9694	1.9130677e-09	0.119531766	0.04618987	0.44371367	0.099964485	0.22910264	0.037767228	0.023730287
11931x9677	0.0024800242	0.0104004545	0.02399976	0.89040726	0.020911256	0.03182376	0.014557237	0.0054202494
17122x8268	0.039296165	0.087800615	0.041076966	0.5484792	0.13222617	0.10288867	0.030039717	0.018192468
6058x10846	3.6258088e-10	0.062975705	0.025273371	0.5663928	0.12148471	0.13775344	0.03123785	0.05488219
8660x8242	0.009316849	0.064072885	0.05713777	0.6363764	0.10932906	0.023253676	0.02574563	0.07476778
5078x19155	0.024608783	0.040468443	0.010837079	0.82640725	0.068681635	3.9885795e-10	0.01954419	0.00945269
7542x16788	0.0036981108	0.025414536	0.011896313	0.90417033	0.021323888	0.028472055	3.4948708e-10	0.0050247046
8216x19402	0.0017490346	0.052366484	4.0312292e-10	0.925238	4.0295536e-10	4.0305223e-10	0.005042256	0.01560426
18587x19909	0.005471811	2.7751879e-10	0.003890681	0.96707207	2.7699631e-10	0.0070083663	0.014533839	0.0020231986
10692x13235	0.009903606	0.010929015	1.3389928e-10	0.85735834	0.057299063	0.03791383	0.002492411	0.024103874
12862x17516	0.0032637499	0.076432735	0.018402148	0.7294644	0.07247398	0.06545787	4.176822e-10	0.034505147
12458x15853	3.9528342e-10	0.056215327	0.05552918	0.64728767	0.12934493	0.046232842	0.019197302	0.046192724
16300x9215	8.5984514e-10	0.090155266	0.05043947	0.4906618	0.14724086	0.13515934	0.05294588	0.033397347
5079x18680	4.958938e-10	0.08194269	0.041280877	0.7007186	0.11154752	0.049490456	0.015019832	4.944224e-10
5668x4433	2.3920643e-10	0.0096565485	0.007849641	0.8911029	0.054370187	0.025097031	2.3915214e-10	0.011923679
11765x19413	0.008274807	0.023603179	0.0031353123	0.7566245	0.14844866	0.03446524	5.1773674e-10	0.025448253
