	B-cells	CAFs	Endothelial	Epithelial	Myeloid	Plasmablasts	SMCs	T-cells
7186x17106	0.016903676	0.026240291	0.025375756	0.81067723	0.104075596	2.4389799e-10	0.016727414	2.4333946e-10
7864x19720	2.911119e-10	0.12644525	2.9127745e-10	0.84058076	0.028199896	2.921081e-10	2.912652e-10	0.004774134
18239x20214	2.1581023e-10	2.158831e-10	2.160759e-10	0.9819948	2.1612453e-10	0.018005224	2.1596545e-10	2.1601283e-10
10333x13548	0.013324202	0.0031650236	0.009993154	0.8221132	0.087682754	0.025857762	0.012248281	0.025615757
12509x17828	2.0940058e-10	0.05873473	0.010684493	0.65930474	0.14998549	0.051526092	0.020846643	0.048917808
15938x9520	0.04027041	0.09725544	0.05347287	0.36096603	0.22278063	0.072107755	0.07542021	0.077726595
4725x19002	0.017295506	0.23544896	1.7860483e-10	0.6167411	0.07927345	0.026770549	1.7822165e-10	0.024470393
11414x19727	2.8705308e-10	0.105485	0.046144944	0.3457828	0.30830434	0.081534296	0.037839737	0.074908875
13871x19731	2.0398389e-10	0.009620246	0.018295119	0.9647754	0.0073092245	2.0453242e-10	2.0386172e-10	2.0386018e-10
17421x19263	2.5461017e-10	2.545519e-10	2.309278e-09	0.96943146	0.0058734696	0.02049432	0.0042006657	2.5454122e-10
4723x19952	0.00031935552	0.05941802	0.0055312337	0.8968607	0.033586297	1.6559926e-10	1.6591986e-10	0.0042843367
15942x7145	1.1984382e-09	0.15135317	0.06713382	0.4429479	0.09344676	0.12085579	0.045262937	0.07899969
12666x6664	0.015098303	0.1079814	0.03334978	0.5804702	0.14158319	0.08141472	0.032628812	0.007473569
5680x19241	0.008655088	0.068422884	0.016514821	0.7284778	0.12596664	0.010508798	0.017561864	0.023892058
16739x19024	1.8825795e-10	0.005441097	0.009501327	0.9445304	0.020562258	0.0011122173	0.018852688	1.881065e-10
14697x15932	0.0067927605	0.13269989	0.0406909	0.323957	0.1803716	0.2541196	0.030108372	0.031259853
17583x5722	1.380055e-09	0.09522307	0.09239074	0.46313885	0.10594899	0.17489734	0.0062201247	0.062180858
13340x11653	0.007026672	0.106826395	0.016121961	0.52047765	0.18573293	0.09346414	0.013217928	0.05713235
7610x9267	0.008217633	0.013753886	0.0029863694	0.8627972	0.06128572	0.025574265	0.0045375284	0.020847443
7060x11167	0.010466129	1.0577111e-10	0.0024799807	0.8081543	0.10034251	0.03455567	0.005616454	0.038384892
13742x15693	4.5706872e-10	0.18371435	4.571393e-10	0.57427543	0.10953424	0.073708475	0.014641238	0.04412626
8563x10932	2.5805433e-10	0.04354672	0.029911805	0.4871698	0.25968018	0.0714495	0.0054992377	0.102742754
15375x18546	2.0184744e-10	0.042075343	0.015806468	0.79567987	0.09579999	0.03616641	0.0008733305	0.0135986125
6236x14016	0.019705685	0.2693918	0.021463351	0.44752857	0.06746078	0.13236623	0.019408846	0.022674654
7877x12594	0.00029704036	1.12072004e-10	0.00035391696	0.95760256	0.018115716	0.014389382	1.1186591e-10	0.009241393
11987x4524	0.01408363	0.030622737	0.0054398426	0.7589163	0.12958393	0.061353482	7.006789e-10	7.003501e-10
7731x17582	0.004965974	0.020260205	1.9377246e-10	0.9630824	1.938475e-10	1.9408725e-10	0.004260775	0.0074307094
